TIME: 11330935000 | RAM WRITE | Addr: 63 <= Data: 63
TIME: 11330945000 | RAM WRITE | Addr: 63 <= Data: 62
TIME: 11330965000 | RAM WRITE | Addr: 62 <= Data: 61
TIME: 11369375000 | RAM WRITE | Addr: 64 <= Data: 64
TIME: 11665425000 | RAM WRITE | Addr: 65 <= Data: 65
TIME: 11972725000 | RAM WRITE | Addr: 66 <= Data: 66
TIME: 11991825000 | RAM WRITE | Addr: 67 <= Data: 67
TIME: 11991885000 | RAM WRITE | Addr: 68 <= Data: 68
TIME: 11991925000 | RAM WRITE | Addr: 68 <= Data: 66
TIME: 12011085000 | RAM WRITE | Addr: 68 <= Data: 67
TIME: 12011095000 | RAM WRITE | Addr: 68 <= Data: 67
TIME: 12011105000 | RAM WRITE | Addr: 68 <= Data: 67
TIME: 12011115000 | RAM WRITE | Addr: 68 <= Data: 67
TIME: 12011125000 | RAM WRITE | Addr: 67 <= Data: 66
TIME: 12030325000 | RAM WRITE | Addr: 67 <= Data: 66
TIME: 12087985000 | RAM WRITE | Addr: 69 <= Data: 69
TIME: 12107125000 | RAM WRITE | Addr: 70 <= Data: 70
TIME: 12107185000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12126285000 | RAM WRITE | Addr: 71 <= Data: 71
TIME: 12126325000 | RAM WRITE | Addr: 71 <= Data: 70
TIME: 12126385000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12145525000 | RAM WRITE | Addr: 71 <= Data: 70
TIME: 12145585000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12145685000 | RAM WRITE | Addr: 72 <= Data: 72
TIME: 12164725000 | RAM WRITE | Addr: 71 <= Data: 70
TIME: 12164785000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12183925000 | RAM WRITE | Addr: 71 <= Data: 70
TIME: 12183985000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12203125000 | RAM WRITE | Addr: 71 <= Data: 70
TIME: 12203185000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12203275000 | RAM WRITE | Addr: 73 <= Data: 73
TIME: 12203285000 | RAM WRITE | Addr: 73 <= Data: 72
TIME: 12222385000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12222475000 | RAM WRITE | Addr: 73 <= Data: 69
TIME: 12222485000 | RAM WRITE | Addr: 72 <= Data: 69
TIME: 12222495000 | RAM WRITE | Addr: 72 <= Data: 69
TIME: 12241585000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12260785000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12279915000 | RAM WRITE | Addr: 74 <= Data: 74
TIME: 12279925000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12279985000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12299105000 | RAM WRITE | Addr: 75 <= Data: 75
TIME: 12299115000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12299125000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12299185000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12300195000 | RAM WRITE | Addr: 76 <= Data: 76
TIME: 12318315000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12318325000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12318385000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12319385000 | RAM WRITE | Addr: 77 <= Data: 77
TIME: 12319395000 | RAM WRITE | Addr: 77 <= Data: 76
TIME: 12337515000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12337525000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12337585000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12338565000 | RAM WRITE | Addr: 78 <= Data: 78
TIME: 12338585000 | RAM WRITE | Addr: 78 <= Data: 77
TIME: 12338595000 | RAM WRITE | Addr: 77 <= Data: 76
TIME: 12356715000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12356725000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12356785000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12357755000 | RAM WRITE | Addr: 79 <= Data: 79
TIME: 12357765000 | RAM WRITE | Addr: 79 <= Data: 78
TIME: 12357785000 | RAM WRITE | Addr: 78 <= Data: 77
TIME: 12357795000 | RAM WRITE | Addr: 77 <= Data: 76
TIME: 12375915000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12375925000 | RAM WRITE | Addr: 74 <= Data: 70
TIME: 12375985000 | RAM WRITE | Addr: 70 <= Data: 69
TIME: 12376965000 | RAM WRITE | Addr: 79 <= Data: 78
TIME: 12376985000 | RAM WRITE | Addr: 78 <= Data: 77
TIME: 12376995000 | RAM WRITE | Addr: 77 <= Data: 76
TIME: 12395115000 | RAM WRITE | Addr: 75 <= Data: 74
TIME: 12395125000 | RAM WRITE | Addr: 74 <= Data: 70
