TIME: 27526025000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27526035000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27554685000 | RAM WRITE | Addr: 18 <= Data: 18
TIME: 27554705000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27554735000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27554745000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27554755000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27583425000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27583455000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27583465000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27583475000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27612145000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27612175000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27612185000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27612195000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27640865000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27640895000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27640905000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27640915000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27669585000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27669615000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27669625000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27669635000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27698305000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27698335000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27698345000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27698355000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27727025000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27727055000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27727065000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27727075000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27755745000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27755775000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27755785000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27755795000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27784465000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27784495000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27784505000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27784515000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27785075000 | RAM WRITE | Addr: 19 <= Data: 19
TIME: 27785085000 | RAM WRITE | Addr: 19 <= Data: 1
